inn,max_final,n_red,n_yellow,n_txn,last_date
659207c64fee1c66,1.0,16,6,60,2020-12-25
6ef5667d7851dcbc,1.0,3,3,20,2019-07-30
ad57c94e5b8df8f6,1.0,3,3,23,2019-10-10
5ae9eeb0d29bc5c0,0.9999999972630507,4,0,43,2021-05-21
9d8f54ae3b88911b,0.9999999971779763,2,3,32,2021-11-22
nan,0.9999999967796083,1,0,17,2021-12-27
d877722ca4e40f98,0.9999999965703561,8,34,2172,2025-02-02
8d9e0be733f77f1c,0.9999999965511721,4,8,225,2022-09-27
7ad54077510c09e4,0.9999999958490057,2,0,24,2022-08-19
89e588b9010869a4,0.9999999950773394,1,3,16,2019-10-31
