source,title,url,date,snippet
РИА Новости,Сбербанк провел конференцию о будущем обучения в эпоху ИИ,https://ria.ru/20251024/konferentsiya-2050451682.html,,
РИА Новости,В ВТБ объяснили повышение банковских ставок по вкладам,https://ria.ru/20251024/banki-2050340717.html,,
РИА Новости,Мутко оценил вероятность роста цен на жилье в России,https://realty.ria.ru/20251024/mutko-2050269771.html,,
РИА Новости,"Ни квартиры, ни денег: как обманывают покупателей жилья на вторичке",https://ria.ru/20251024/kvartiry-2050162929.html,,
РИА Новости,"Ключевая ставка ЦБ России: что это, зачем нужна и на что влияет",https://ria.ru/20251023/klyuchevaya_stavka-1962773695.html,,
РИА Новости,Путин собрал Совет по демографии,https://ria.ru/20251023/putin-2050086204.html,,
РИА Новости,Суд отклонил жалобу актрисы кино для взрослых об изъятии квартиры,https://ria.ru/20251023/tejlor-2050037375.html,,
РИА Новости,"""Домклик"": вторичка в Москве в два раза дороже, чем в области",https://realty.ria.ru/20251022/domklik-2049907185.html,,
РИА Новости,"Эксперты объяснили, почему ряд банков начал повышать ставки по вкладам",https://ria.ru/20251022/banki-2049749865.html,,
РИА Новости,"Сбербанк предупредил о волне мошеннической схемы ""звонок из военкомата""",https://ria.ru/20251021/moshennichestvo-2049648601.html,,
РИА Новости,"""Домклик"" назвал самые популярные направления среди российских туристов",https://realty.ria.ru/20251021/domklik-2049581096.html,,
РИА Новости,Сбербанк увеличил ставки по вкладам,https://ria.ru/20251021/sberbank-2049488388.html,,
РИА Новости,"""Домклик"": новостройки в России за год подорожали на 5%",https://realty.ria.ru/20251020/domklik-2049433257.html,,
РИА Новости,"Сбербанк стал совладельцем еще одного проекта ""ОМ девелопмента""",https://realty.ria.ru/20251020/sberbank-2049298358.html,,
РИА Новости,Доля проблемных застройщиков жилья в портфеле Сбербанка меньше 1%,https://realty.ria.ru/20251017/sberbank-2048907282.html,,
РИА Новости,"""Сбер"" одобрил в 2025 году 60% кредитов для застройщиков жилья с помощью ИИ",https://realty.ria.ru/20251017/sberbank-2048890849.html,,
РИА Новости,Минстрой анонсировал меры по снижению инвестиционной стоимости жилья,https://realty.ria.ru/20251017/minstroj-2048864659.html,,
РИА Новости,Сбербанк: цены на жилье могут начать расти выше инфляции в конце 2026 года,https://realty.ria.ru/20251017/tseny-2048852575.html,,
РИА Новости,Назван лидер среди российских миллионников по динамике открытия новых ПВЗ,https://realty.ria.ru/20251017/pvz-2047967294.html,,
РИА Новости,Сбербанк взыскал с Euroclear Bank более 30 миллиардов рублей,https://ria.ru/20251016/sberbank-2048679976.html,,
Коммерсантъ,Власти Курска ищут банк для открытия кредитной линии на 200 млн рублей,https://www.kommersant.ru/doc/8157765?query=%D1%81%D0%B1%D0%B5%D1%80%D0%B1%D0%B0%D0%BD%D0%BA,,004 / 24.10.2025
Коммерсантъ,"Суд обанкротил воронежский элеватор из-за долгов на 4,5 млрд рублей",https://www.kommersant.ru/doc/8157568?query=%D1%81%D0%B1%D0%B5%D1%80%D0%B1%D0%B0%D0%BD%D0%BA,,006 / 24.10.2025
Коммерсантъ,Корпоративная перезагрузка,https://www.kommersant.ru/doc/8140498?query=%D1%81%D0%B1%D0%B5%D1%80%D0%B1%D0%B0%D0%BD%D0%BA,,009 / 24.10.2025
Интерфакс,Ãëàâíîå,https://www.interfax.ru/,,
Интерфакс,Â Ðîññèè,https://www.interfax.ru/russia/,,
Интерфакс,Â ìèðå,https://www.interfax.ru/world/,,
Интерфакс,Ýêîíîìèêà,https://www.interfax.ru/business/,,
Интерфакс,Ñïîðò,https://www.sport-interfax.ru/,,
Интерфакс,Êóëüòóðà,https://www.interfax.ru/culture/,,
Интерфакс,Ìîñêâà,https://www.interfax.ru/moscow/,,
Интерфакс,Digital,https://www.interfax.ru/digital/,,
Интерфакс,Íîâîñòè,https://www.interfax.ru/news/,,
Интерфакс,Âñå Ñþæåòû,https://www.interfax.ru/story/,,
Интерфакс,Âñå Ôîòî,https://www.interfax.ru/photo/,,
Интерфакс,Ïîäïèñêà,https://ifx.ru/ru/showcase?utm_source=interfax.ru,,
АмурМедиа (ИА),Главные,https://amurmedia.ru/news/main/,,
АмурМедиа (ИА),Популярные,https://amurmedia.ru/news/popular/,,
АмурМедиа (ИА),Статьи,https://amurmedia.ru/news/articles/,,
АмурМедиа (ИА),Истории,https://amurmedia.ru/news/longread/,,
АмурМедиа (ИА),Новости,https://amurmedia.ru/news/,,
АмурМедиа (ИА),Общество,https://amurmedia.ru/news/society,,
АмурМедиа (ИА),Политика,https://amurmedia.ru/news/politics,,
АмурМедиа (ИА),Бизнес,https://amurmedia.ru/news/economics,,
АмурМедиа (ИА),Происшествия,https://amurmedia.ru/news/incidents,,
АмурМедиа (ИА),Спорт,https://amurmedia.ru/news/sport,,
АмурМедиа (ИА),Это интересно,https://amurmedia.ru/news/hot,,
АмурМедиа (ИА),День_В_Календаре,https://amurmedia.ru/news/hashtag/2022/,,
АмурМедиа (ИА),ЗнакиСудьбы,https://amurmedia.ru/news/hashtag/2550/,,
АмурМедиа (ИА),КадрыРешаютВсё,https://amurmedia.ru/news/hashtag/1167/,,
АмурМедиа (ИА),Гимнастика для ума,https://amurmedia.ru/news/hashtag/3123/,,
АмурМедиа (ИА),ПарламентскаяГазета,https://amurmedia.ru/news/hashtag/3175/,,
