title,lead_50,url
Brand Analytics представит ИИ-инструменты для аналитики соцмедиа на конференции в Москве,"В программе конференции также представят ключевое исследование ""Соцсети России 2025: цифры и тренды"" и первую карту индустрии в России ""Аналитика соцмедиа""",https://tass.ru/novosti-partnerov/25444859
"От Джека Воробья с приветом: Европа и США ввели санкции, взметнув цены на нефть","24 октября вступает в силу основная часть рестрикций, содержащихся в 19-м пакете антироссийских санкций Евросоюза. Днем ранее свои санкции ввели США. Помимо амбициозного намерения полностью отказаться от российского сжиженного природного газа (СПГ) до конца 2026 года, пакет ЕС включает в себя санкции в отношении 21 физического и 41 юридического лица,",https://tass.ru/ekonomika/25433825
"Сбер намерен подать заявление о банкротстве ""Гео органикс"" и ""Гео-мед""",Большая часть бизнеса принадлежит внуку скульптора Зураба Церетели,https://tass.ru/ekonomika/25435119
"Карты белорусской ""дочки"" Альфа-банка работают в прежнем режиме",Клиенты могут продолжить осуществлять финансовые операции,https://tass.ru/ekonomika/25431203
ЕС вводит запрет на транзакции с несколькими банками СНГ,"Под санкции, в частности, подпали белорусские Банк БелВЭБ, Белгазпромбанк, Альфа-банк (Беларусь), Сбер Банк (Беларусь), ВТБ Банк (Беларусь), ВТБ Банк (Казахстан), киргизские ""Толубай"" и Евразийский сберегательный бан",https://tass.ru/ekonomika/25430351
ЕС официально ввел 19-й пакет санкций против России,Ограничения ввелись в отношении 21 физического лица и 41 юридического лица,https://tass.ru/ekonomika/25429131
"Ограничения против танкеров, банков и дипломатов. Главное о 19-м пакете санкций","26 октября на экраны выходит сериал ""Оно: Добро пожаловать в Дерри"", который вернет зрителей в жуткий город из вселенной Стивена Кинга. Рассказываем о том, чем удивят зрителей создатели проекта и что думает автор оригинального романа о картине",https://tass.ru/mezhdunarodnaya-panorama/25427817
"Сбер рассказал о схеме мошенников ""звонок из военкомата""",Ее суть сводится к получению кода из СМС и требованию перевести накопления,https://tass.ru/obschestvo/25409315
"Стала известна победительница московского этапа проекта ""Мама-предприниматель""",На московский этап программы было подано свыше 250 заявок,https://tass.ru/novosti-partnerov/25352891
"Сбер повысил ставки по вкладам на 0,5-2,1 процентного пункта","Максимальная ставка составит 16,2% годовых",https://tass.ru/ekonomika/25401211
Сервис оплаты петербургских парковок не работает в приложении и на сайте,"Для оплаты доступны приложение ""Парковки России"" и паркоматы",https://tass.ru/obschestvo/25386345
"На форуме ""СО.ЗНАНИЕ наградили лидеров ЭКГ-рейтинга ПФО","В число победителей вошли: ""Оргхим"", ""Лукойл-Пермнефтеоргсинтез"", ""Полиэф"", а также ""Аммоний"" и ""Промис""",https://tass.ru/ekonomika/25381273
Во Владимирской области сократился срок поиска работы в компаниях ЭКГ-рейтинга,Он уменьшился на девять дней,https://tass.ru/obschestvo/25381183
В России может появиться стандарт ответственной коммуникации для СМИ,"Документ обозначит ключевые определения образа многодетной семьи, уточнил заместитель полпреда президента РФ в ЦФО Алексей Еремин",https://tass.ru/obschestvo/25381179
Полпред президента Щеголев указал на важность ответственности в бизнесе,"Это качество должно стать свидетельством успеха для компаний и предприятий, считает политик =",https://tass.ru/ekonomika/25380879
"На сайте ЭКГ-рейтинга появится ""демографическое меню""",Там можно будет выбрать фильтр предоставления жилищных программ и перечня других социально важных мер поддержки,https://tass.ru/ekonomika/25380801
"В Поволжье порядка 1,2 млн хозяйствующих субъектов участвуют в ЭКГ-рейтинге","До 15% участников рейтинга находятся в группе лидеров, сообщил полномочный представитель президента России в ПФО Игорь Комаров",https://tass.ru/ekonomika/25380355
Минтруд: борьба за кадры станет ключевым фактором эффективности производства,"В России потенциальная рабочая сила за последние пять лет сократилась более чем вдвое, отметила первый заместитель министра труда и социальной защиты РФ Ольга Баталина",https://tass.ru/ekonomika/25380411
ФНС включит в ЭКГ-рейтинг четыре новых показателя,"Это поможет повысить доверие к компаниям со стороны сотрудников, партнеров, инвесторов и госструктур, сообщил замруководителя Федеральной налоговой службы России Тимур Шиналиев",https://tass.ru/ekonomika/25380065
"RAEX: методологию рейтинга ""ЭКГ-регион"" усовершенствуют","В частности, планируют ввести индикаторы реализации национальных проектов",https://tass.ru/ekonomika/25380035
"Более 1,3 тыс. госзакупок провели с ЭКГ-рейтингом в 37 регионах с июля 2024 года","Закупки были проведены по федеральному закону ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""",https://tass.ru/ekonomika/25379757
"Кондрашов заявил, что СМИ должны поддерживать социально ответственный бизнес","Именно для этого в ТАСС создали отдельную редакцию ""ТАСС Рейтинг"", указал генеральный директор агентства",https://tass.ru/obschestvo/25379303
Кондрашов: ЭКГ-рейтинг позволяет оценить ответственность бизнеса перед обществом,"Генеральный директор ТАСС отметил, что инструмент помогает учитывать специфику каждого региона",https://tass.ru/ekonomika/25379225
ПСБ: банкам нужно рассмотреть практику ЭКГ-рейтинга в риск-методологии,"Вице-президент ПСБ Екатерина Кузьмина считает, что этот инструмент может стать востребованным и эффективным для оценки и минимизации рисков международного сотрудничества",https://tass.ru/ekonomika/25378175
Росстандарт назвал ГОСТ по ЭКГ-рейтингу одним из самых востребованных,"Руководитель Федерального агентства по техническому регулированию и метрологии Антон Шалаев отметил, что в 2025 году был принят ГОСТ ""Меры поддержки ""Корпоративный демографический стандарт""",https://tass.ru/ekonomika/25377179
The Nilson Report: Сбер впервые в истории стал лидером мирового эквайринга,Количество транзакций Сбера за 2024 год превысило 52 млрд,https://tass.ru/ekonomika/25376105
Никитин: ЭКГ-рейтинг показал себя как суверенный инструмент поддержки бизнеса,"Губернатор Нижегородской области подчеркнул, что ЭКГ-рейтинг учитывает, как региональные запросы по поддержке социально ответственного бизнеса, так и отвечает общегосударственным задачам корпоративных изменений",https://tass.ru/ekonomika/25376023
"В Нижнем Новгороде открывается ЭКГ-форум ""Со.Знание""",В рамках деловой программы запланировано более 20 сессий,https://tass.ru/obschestvo/25374435
Сбер: число сделок по покупке жилья без ипотеки за полгода на юге РФ удвоилось,"Лидерами по приобретению жилья остаются Краснодарский край, Ростовская область и Ставропольский край",https://tass.ru/ekonomika/25373887
Сбер: рынок ипотеки на юге России к концу года вырастет до 275 млрд рублей,"Основными драйверами роста южного рынка недвижимости остаются применение льготных госпрограмм и расширение предложения девелоперами видов расчетов, отметили в банке",https://tass.ru/ekonomika/25373473
